owner,score,score_catt
metacritics,94,PERFECT
metacritics,86,GOOD
metacritics,69,OK
metacritics,94,PERFECT
metacritics,94,PERFECT
metacritics,94,PERFECT
metacritics,94,PERFECT
metacritics,93,PERFECT
metacritics,92,PERFECT
metacritics,91,PERFECT
metacritics,91,PERFECT
metacritics,90,GOOD
metacritics,89,GOOD
metacritics,89,GOOD
metacritics,89,GOOD
metacritics,89,GOOD
metacritics,85,GOOD
metacritics,84,GOOD
metacritics,83,GOOD
metacritics,80,OK
metacritics,80,OK
metacritics,80,OK
metacritics,80,OK
metacritics,79,OK
metacritics,77,OK
metacritics,74,OK
metacritics,70,OK
metacritics,59,OK
metacritics,53,OK
metacritics,96,PERFECT
metacritics,93,PERFECT
metacritics,92,PERFECT
metacritics,92,PERFECT
metacritics,92,PERFECT
metacritics,91,PERFECT
metacritics,91,PERFECT
metacritics,91,PERFECT
metacritics,90,GOOD
metacritics,89,GOOD
metacritics,89,GOOD
metacritics,88,GOOD
metacritics,88,GOOD
metacritics,86,GOOD
metacritics,86,GOOD
metacritics,86,GOOD
metacritics,85,GOOD
metacritics,85,GOOD
metacritics,83,GOOD
metacritics,83,GOOD
metacritics,83,GOOD
users,89,GOOD
users,87,GOOD
users,58,OK
users,89,GOOD
users,88,GOOD
users,87,GOOD
users,92,PERFECT
users,85,GOOD
users,82,GOOD
users,84,GOOD
users,90,GOOD
users,88,GOOD
users,86,GOOD
users,50,BAD
users,87,GOOD
users,87,GOOD
users,71,OK
users,86,GOOD
users,80,OK
users,50,BAD
users,81,GOOD
users,83,GOOD
users,83,GOOD
users,78,OK
users,85,GOOD
users,71,OK
users,80,OK
users,50,BAD
users,78,OK
users,90,GOOD
users,92,PERFECT
users,74,OK
users,92,PERFECT
users,75,OK
users,86,GOOD
users,81,GOOD
users,86,GOOD
users,85,GOOD
users,88,GOOD
users,90,GOOD
users,84,GOOD
users,89,GOOD
users,89,GOOD
users,88,GOOD
users,84,GOOD
users,88,GOOD
users,83,GOOD
users,82,GOOD
users,87,GOOD
users,86,GOOD
